INSTNM,CITY,STABBR,INSTURL,LOCALE,MENONLY,WOMENONLY,SATVR75,SATMT75,SATWR75,ACTCM75,SAT_AVG,GRAD_DEBT_MDN
Alabama A & M University,Normal,AL,www.aamu.edu/,12,0,0,470,470,470,19,827,33888
University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,12,0,0,640,640,NULL,27,1107,21941.5
Amridge University,Montgomery,AL,www.amridgeuniversity.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,23370
University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,12,0,0,670,650,NULL,30,1219,24097
Alabama State University,Montgomery,AL,www.alasu.edu,12,0,0,470,480,NULL,19,851,33118.5
The University of Alabama,Tuscaloosa,AL,www.ua.edu/,13,0,0,620,630,600,31,1185,23750
Central Alabama Community College,Alexander City,AL,www.cacc.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,16127
Athens State University,Athens,AL,www.athens.edu,31,0,0,NULL,NULL,NULL,NULL,NULL,18595
Auburn University at Montgomery,Montgomery,AL,www.aum.edu,12,0,0,538,550,NULL,24,1009,21335
Auburn University,Auburn,AL,www.auburn.edu,13,0,0,630,645,610,30,1215,21831
Birmingham Southern College,Birmingham,AL,www.bsc.edu/,12,0,0,620,620,NULL,29,1181,27000
Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,9000
Concordia College Alabama,Selma,AL,www.ccal.edu/,32,0,0,520,600,NULL,31,942,PrivacySuppressed
South University-Montgomery,Montgomery,AL,southuniversity.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,25167
Enterprise State Community College,Enterprise,AL,www.escc.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,8273
James H Faulkner State Community College,Bay Minette,AL,www.faulknerstate.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,11000
Faulkner University,Montgomery,AL,www.faulkner.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,22000
Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
New Beginning College of Cosmetology,Albertville,AL,www.nbccosmetology.com,32,0,0,NULL,NULL,NULL,NULL,NULL,5500
George C Wallace State Community College-Dothan,Dothan,AL,www.wallace.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
George C Wallace State Community College-Hanceville,Hanceville,AL,www.wallacestate.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,11186
George C Wallace State Community College-Selma,Selma,AL,www.wccs.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Herzing University-Birmingham,Birmingham,AL,www.herzing.edu/,21,0,0,NULL,NULL,NULL,NULL,NULL,23216.5
Huntingdon College,Montgomery,AL,www.huntingdon.edu,12,0,0,560,530,NULL,24,1026,26230
Heritage Christian University,Florence,AL,www.hcu.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
J F Drake State Community and Technical College,Huntsville,AL,www.drakestate.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Jacksonville State University,Jacksonville,AL,www.jsu.edu/,13,0,0,560,540,NULL,26,1041,23000
Jefferson Davis Community College,Brewton,AL,www.jdcc.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Jefferson State Community College,Birmingham,AL,www.jeffstateonline.com,12,0,0,NULL,NULL,NULL,NULL,NULL,8916.5
John C Calhoun State Community College,Tanner,AL,www.calhoun.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,10500
Judson College,Marion,AL,www.judson.edu,43,0,1,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Lawson State Community College-Birmingham Campus,Birmingham,AL,www.lawsonstate.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
University of West Alabama,Livingston,AL,www.uwa.edu,43,0,0,NULL,NULL,NULL,23,990,24253
Lurleen B Wallace Community College,Andalusia,AL,www.lbwcc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Marion Military Institute,Marion,AL,www.marionmilitary.edu,43,0,0,605,615,NULL,25,1055,11500
Miles College,Fairfield,AL,www.miles.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,36789.5
University of Mobile,Mobile,AL,www.umobile.edu,41,0,0,530,510,NULL,24,1014,27000
University of Montevallo,Montevallo,AL,www.montevallo.edu,21,0,0,600,595,585,26,1070,23266
Northwest-Shoals Community College,Muscle Shoals,AL,www.nwscc.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,11250
University of North Alabama,Florence,AL,www.una.edu,13,0,0,593,530,NULL,25,1029,21500
Northeast Alabama Community College,Rainsville,AL,www.nacc.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,4500
Oakwood University,Huntsville,AL,www.oakwood.edu,12,0,0,530,510,NULL,22,928,27250
Alabama Southern Community College,Monroeville,AL,www.ascc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Prince Institute-Southeast,Elmhurst,IL,princeinstitute.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,20992
Reid State Technical College,Evergreen,AL,www.rstc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Bishop State Community College,Mobile,AL,www.bishop.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Samford University,Birmingham,AL,www.samford.edu,21,0,0,620,615,610,29,1165,23000
Selma University,Selma,AL,selmauniversity.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Shelton State Community College,Tuscaloosa,AL,www.sheltonstate.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Snead State Community College,Boaz,AL,www.snead.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,6374
University of South Alabama,Mobile,AL,www.southalabama.edu,12,0,0,570,585,540,25,1048,24711
